,Sand Ditch simulation
WatBalR5,0.035
WatBalR15,0.018
WatBalR30,0.012
WatBalR60,0.006
WatBalR120,0.003
WatBalR180,0.001
WatBalR240,0.001
WatBalR500,0.007
WatBalR720,0.007
WatBalR1440,0.008
WatBalR2160,0.026
WatBalR2880,0.029
WatBalT0,
WatBalT5,0.37896
WatBalT15,0.31616
WatBalT30,0.32507
WatBalT60,0.26732
WatBalT120,-0.13709
WatBalT180,-0.025206
WatBalT240,0.057672
WatBalT500,0.31263
WatBalT720,0.33457
WatBalT1440,0.3768
WatBalT2160,1.2373
WatBalT2880,1.3599
hMean0,-1418.7
hMean5,-453.06
hMean15,-359.1
hMean30,-235.6
hMean60,-62.147
hMean120,-21.629
hMean180,-20.775
hMean240,-21.236
hMean500,-23.247
hMean720,-24.163
hMean1440,-25.248
hMean2160,-25.465
hMean2880,-25.52
VarFluxArea,67.5
AtmosArea,1305.75
DrainageArea,22.875
ThetaR_1,0.045
ThetaR_2,0.1
ThetaR_3,0.01
ThetaR_4,0.078
ThetaR_5,0.095
ThetaR_6,0.057
ThetaR_7,0.065
ThetaR_8,0.034
ThetaR_9,0.067
ThetaS_1,0.43
ThetaS_2,0.39
ThetaS_3,0.3
ThetaS_4,0.43
ThetaS_5,0.41
ThetaS_6,0.41
ThetaS_7,0.41
ThetaS_8,0.46
ThetaS_9,0.45
Alfa_1,0.145
Alfa_2,0.059
Alfa_3,0.151
Alfa_4,0.036
Alfa_5,0.019
Alfa_6,0.124
Alfa_7,0.075
Alfa_8,0.016
Alfa_9,0.02
n_1,2.68
n_2,1.48
n_3,2.75
n_4,1.56
n_5,1.31
n_6,2.28
n_7,1.89
n_8,1.37
n_9,1.41
Ks_1,0.495
Ks_2,0.00218
Ks_3,2.0
Ks_4,0.0173
Ks_5,0.00433
Ks_6,0.243
Ks_7,0.0737
Ks_8,0.00417
Ks_9,0.0075
Lambda_1,0.5
Lambda_2,0.5
Lambda_3,0.5
Lambda_4,0.5
Lambda_5,0.5
Lambda_6,0.5
Lambda_7,0.5
Lambda_8,0.5
Lambda_9,0.5
